ID	RegimeName	Category	ShortDescription	Region	ExampleCountry
313	Regime 313	Nation-State Governance	Traditional state model with centralized authority #313	Africa	South Africa
314	Regime 314	Market-Dominant Governance	Economic-driven governance emphasizing market forces #314	Asia	South Korea
315	Regime 315	Algorithmic Governance	Automated decision systems guiding policy and regulation #315	Europe	Spain
316	Regime 316	Nation-State Governance	Traditional state model with centralized authority #316	Americas	United States
317	Regime 317	Market-Dominant Governance	Economic-driven governance emphasizing market forces #317	Oceania	New Zealand
318	Regime 318	Algorithmic Governance	Automated decision systems guiding policy and regulation #318	Global	Multinational Consortium
319	Regime 319	Nation-State Governance	Traditional state model with centralized authority #319	Africa	Egypt
320	Regime 320	Market-Dominant Governance	Economic-driven governance emphasizing market forces #320	Asia	Indonesia
321	Regime 321	Algorithmic Governance	Automated decision systems guiding policy and regulation #321	Europe	United Kingdom
322	Regime 322	Nation-State Governance	Traditional state model with centralized authority #322	Americas	Canada
323	Regime 323	Market-Dominant Governance	Economic-driven governance emphasizing market forces #323	Oceania	Fiji
324	Regime 324	Algorithmic Governance	Automated decision systems guiding policy and regulation #324	Global	Global Financial Forum
325	Regime 325	Nation-State Governance	Traditional state model with centralized authority #325	Africa	Ghana
326	Regime 326	Market-Dominant Governance	Economic-driven governance emphasizing market forces #326	Asia	China
327	Regime 327	Algorithmic Governance	Automated decision systems guiding policy and regulation #327	Europe	Germany
328	Regime 328	Nation-State Governance	Traditional state model with centralized authority #328	Americas	Brazil
329	Regime 329	Market-Dominant Governance	Economic-driven governance emphasizing market forces #329	Oceania	Papua New Guinea
330	Regime 330	Algorithmic Governance	Automated decision systems guiding policy and regulation #330	Global	International Coalition
331	Regime 331	Nation-State Governance	Traditional state model with centralized authority #331	Africa	Nigeria
332	Regime 332	Market-Dominant Governance	Economic-driven governance emphasizing market forces #332	Asia	India
333	Regime 333	Algorithmic Governance	Automated decision systems guiding policy and regulation #333	Europe	France
334	Regime 334	Nation-State Governance	Traditional state model with centralized authority #334	Americas	Mexico
335	Regime 335	Market-Dominant Governance	Economic-driven governance emphasizing market forces #335	Oceania	Samoa
336	Regime 336	Algorithmic Governance	Automated decision systems guiding policy and regulation #336	Global	European Union
337	Regime 337	Nation-State Governance	Traditional state model with centralized authority #337	Africa	Kenya
338	Regime 338	Market-Dominant Governance	Economic-driven governance emphasizing market forces #338	Asia	Japan
339	Regime 339	Algorithmic Governance	Automated decision systems guiding policy and regulation #339	Europe	Italy
340	Regime 340	Nation-State Governance	Traditional state model with centralized authority #340	Americas	Argentina
341	Regime 341	Market-Dominant Governance	Economic-driven governance emphasizing market forces #341	Oceania	Australia
342	Regime 342	Algorithmic Governance	Automated decision systems guiding policy and regulation #342	Global	United Nations
343	Regime 343	Nation-State Governance	Traditional state model with centralized authority #343	Africa	South Africa
344	Regime 344	Market-Dominant Governance	Economic-driven governance emphasizing market forces #344	Asia	South Korea
345	Regime 345	Algorithmic Governance	Automated decision systems guiding policy and regulation #345	Europe	Spain
346	Regime 346	Nation-State Governance	Traditional state model with centralized authority #346	Americas	United States
347	Regime 347	Market-Dominant Governance	Economic-driven governance emphasizing market forces #347	Oceania	New Zealand
348	Regime 348	Algorithmic Governance	Automated decision systems guiding policy and regulation #348	Global	Multinational Consortium
349	Regime 349	Nation-State Governance	Traditional state model with centralized authority #349	Africa	Egypt
350	Regime 350	Market-Dominant Governance	Economic-driven governance emphasizing market forces #350	Asia	Indonesia
351	Regime 351	Algorithmic Governance	Automated decision systems guiding policy and regulation #351	Europe	United Kingdom
352	Regime 352	Nation-State Governance	Traditional state model with centralized authority #352	Americas	Canada
353	Regime 353	Market-Dominant Governance	Economic-driven governance emphasizing market forces #353	Oceania	Fiji
354	Regime 354	Algorithmic Governance	Automated decision systems guiding policy and regulation #354	Global	Global Financial Forum
355	Regime 355	Nation-State Governance	Traditional state model with centralized authority #355	Africa	Ghana
356	Regime 356	Market-Dominant Governance	Economic-driven governance emphasizing market forces #356	Asia	China
357	Regime 357	Algorithmic Governance	Automated decision systems guiding policy and regulation #357	Europe	Germany
358	Regime 358	Nation-State Governance	Traditional state model with centralized authority #358	Americas	Brazil
359	Regime 359	Market-Dominant Governance	Economic-driven governance emphasizing market forces #359	Oceania	Papua New Guinea
360	Regime 360	Algorithmic Governance	Automated decision systems guiding policy and regulation #360	Global	International Coalition
361	Regime 361	Nation-State Governance	Traditional state model with centralized authority #361	Africa	Nigeria
362	Regime 362	Market-Dominant Governance	Economic-driven governance emphasizing market forces #362	Asia	India
363	Regime 363	Algorithmic Governance	Automated decision systems guiding policy and regulation #363	Europe	France
364	Regime 364	Nation-State Governance	Traditional state model with centralized authority #364	Americas	Mexico
365	Regime 365	Market-Dominant Governance	Economic-driven governance emphasizing market forces #365	Oceania	Samoa
366	Regime 366	Algorithmic Governance	Automated decision systems guiding policy and regulation #366	Global	European Union
367	Regime 367	Nation-State Governance	Traditional state model with centralized authority #367	Africa	Kenya
368	Regime 368	Market-Dominant Governance	Economic-driven governance emphasizing market forces #368	Asia	Japan
369	Regime 369	Algorithmic Governance	Automated decision systems guiding policy and regulation #369	Europe	Italy
370	Regime 370	Nation-State Governance	Traditional state model with centralized authority #370	Americas	Argentina
371	Regime 371	Market-Dominant Governance	Economic-driven governance emphasizing market forces #371	Oceania	Australia
372	Regime 372	Algorithmic Governance	Automated decision systems guiding policy and regulation #372	Global	United Nations
373	Regime 373	Nation-State Governance	Traditional state model with centralized authority #373	Africa	South Africa
374	Regime 374	Market-Dominant Governance	Economic-driven governance emphasizing market forces #374	Asia	South Korea
375	Regime 375	Algorithmic Governance	Automated decision systems guiding policy and regulation #375	Europe	Spain
376	Regime 376	Nation-State Governance	Traditional state model with centralized authority #376	Americas	United States
377	Regime 377	Market-Dominant Governance	Economic-driven governance emphasizing market forces #377	Oceania	New Zealand
378	Regime 378	Algorithmic Governance	Automated decision systems guiding policy and regulation #378	Global	Multinational Consortium
379	Regime 379	Nation-State Governance	Traditional state model with centralized authority #379	Africa	Egypt
380	Regime 380	Market-Dominant Governance	Economic-driven governance emphasizing market forces #380	Asia	Indonesia
381	Regime 381	Algorithmic Governance	Automated decision systems guiding policy and regulation #381	Europe	United Kingdom
382	Regime 382	Nation-State Governance	Traditional state model with centralized authority #382	Americas	Canada
383	Regime 383	Market-Dominant Governance	Economic-driven governance emphasizing market forces #383	Oceania	Fiji
384	Regime 384	Algorithmic Governance	Automated decision systems guiding policy and regulation #384	Global	Global Financial Forum
385	Regime 385	Nation-State Governance	Traditional state model with centralized authority #385	Africa	Ghana
386	Regime 386	Market-Dominant Governance	Economic-driven governance emphasizing market forces #386	Asia	China
387	Regime 387	Algorithmic Governance	Automated decision systems guiding policy and regulation #387	Europe	Germany
388	Regime 388	Nation-State Governance	Traditional state model with centralized authority #388	Americas	Brazil
389	Regime 389	Market-Dominant Governance	Economic-driven governance emphasizing market forces #389	Oceania	Papua New Guinea
390	Regime 390	Algorithmic Governance	Automated decision systems guiding policy and regulation #390	Global	International Coalition
391	Regime 391	Nation-State Governance	Traditional state model with centralized authority #391	Africa	Nigeria
392	Regime 392	Market-Dominant Governance	Economic-driven governance emphasizing market forces #392	Asia	India
393	Regime 393	Algorithmic Governance	Automated decision systems guiding policy and regulation #393	Europe	France
394	Regime 394	Nation-State Governance	Traditional state model with centralized authority #394	Americas	Mexico
395	Regime 395	Market-Dominant Governance	Economic-driven governance emphasizing market forces #395	Oceania	Samoa
396	Regime 396	Algorithmic Governance	Automated decision systems guiding policy and regulation #396	Global	European Union
397	Regime 397	Nation-State Governance	Traditional state model with centralized authority #397	Africa	Kenya
398	Regime 398	Market-Dominant Governance	Economic-driven governance emphasizing market forces #398	Asia	Japan
399	Regime 399	Algorithmic Governance	Automated decision systems guiding policy and regulation #399	Europe	Italy
400	Regime 400	Nation-State Governance	Traditional state model with centralized authority #400	Americas	Argentina
401	Regime 401	Market-Dominant Governance	Economic-driven governance emphasizing market forces #401	Oceania	Australia
402	Regime 402	Algorithmic Governance	Automated decision systems guiding policy and regulation #402	Global	United Nations
403	Regime 403	Nation-State Governance	Traditional state model with centralized authority #403	Africa	South Africa
404	Regime 404	Market-Dominant Governance	Economic-driven governance emphasizing market forces #404	Asia	South Korea
405	Regime 405	Algorithmic Governance	Automated decision systems guiding policy and regulation #405	Europe	Spain
406	Regime 406	Nation-State Governance	Traditional state model with centralized authority #406	Americas	United States
407	Regime 407	Market-Dominant Governance	Economic-driven governance emphasizing market forces #407	Oceania	New Zealand
408	Regime 408	Algorithmic Governance	Automated decision systems guiding policy and regulation #408	Global	Multinational Consortium
409	Regime 409	Nation-State Governance	Traditional state model with centralized authority #409	Africa	Egypt
410	Regime 410	Market-Dominant Governance	Economic-driven governance emphasizing market forces #410	Asia	Indonesia
411	Regime 411	Algorithmic Governance	Automated decision systems guiding policy and regulation #411	Europe	United Kingdom
412	Regime 412	Nation-State Governance	Traditional state model with centralized authority #412	Americas	Canada
413	Regime 413	Market-Dominant Governance	Economic-driven governance emphasizing market forces #413	Oceania	Fiji
414	Regime 414	Algorithmic Governance	Automated decision systems guiding policy and regulation #414	Global	Global Financial Forum
415	Regime 415	Nation-State Governance	Traditional state model with centralized authority #415	Africa	Ghana
416	Regime 416	Market-Dominant Governance	Economic-driven governance emphasizing market forces #416	Asia	China
417	Regime 417	Algorithmic Governance	Automated decision systems guiding policy and regulation #417	Europe	Germany
418	Regime 418	Nation-State Governance	Traditional state model with centralized authority #418	Americas	Brazil
419	Regime 419	Market-Dominant Governance	Economic-driven governance emphasizing market forces #419	Oceania	Papua New Guinea
420	Regime 420	Algorithmic Governance	Automated decision systems guiding policy and regulation #420	Global	International Coalition
421	Regime 421	Nation-State Governance	Traditional state model with centralized authority #421	Africa	Nigeria
422	Regime 422	Market-Dominant Governance	Economic-driven governance emphasizing market forces #422	Asia	India
423	Regime 423	Algorithmic Governance	Automated decision systems guiding policy and regulation #423	Europe	France
424	Regime 424	Nation-State Governance	Traditional state model with centralized authority #424	Americas	Mexico
425	Regime 425	Market-Dominant Governance	Economic-driven governance emphasizing market forces #425	Oceania	Samoa
426	Regime 426	Algorithmic Governance	Automated decision systems guiding policy and regulation #426	Global	European Union
427	Regime 427	Nation-State Governance	Traditional state model with centralized authority #427	Africa	Kenya
428	Regime 428	Market-Dominant Governance	Economic-driven governance emphasizing market forces #428	Asia	Japan
429	Regime 429	Algorithmic Governance	Automated decision systems guiding policy and regulation #429	Europe	Italy
430	Regime 430	Nation-State Governance	Traditional state model with centralized authority #430	Americas	Argentina
431	Regime 431	Market-Dominant Governance	Economic-driven governance emphasizing market forces #431	Oceania	Australia
432	Regime 432	Algorithmic Governance	Automated decision systems guiding policy and regulation #432	Global	United Nations
433	Regime 433	Nation-State Governance	Traditional state model with centralized authority #433	Africa	South Africa
434	Regime 434	Market-Dominant Governance	Economic-driven governance emphasizing market forces #434	Asia	South Korea
435	Regime 435	Algorithmic Governance	Automated decision systems guiding policy and regulation #435	Europe	Spain
436	Regime 436	Nation-State Governance	Traditional state model with centralized authority #436	Americas	United States
437	Regime 437	Market-Dominant Governance	Economic-driven governance emphasizing market forces #437	Oceania	New Zealand
438	Regime 438	Algorithmic Governance	Automated decision systems guiding policy and regulation #438	Global	Multinational Consortium
439	Regime 439	Nation-State Governance	Traditional state model with centralized authority #439	Africa	Egypt
440	Regime 440	Market-Dominant Governance	Economic-driven governance emphasizing market forces #440	Asia	Indonesia
441	Regime 441	Algorithmic Governance	Automated decision systems guiding policy and regulation #441	Europe	United Kingdom
442	Regime 442	Nation-State Governance	Traditional state model with centralized authority #442	Americas	Canada
443	Regime 443	Market-Dominant Governance	Economic-driven governance emphasizing market forces #443	Oceania	Fiji
444	Regime 444	Algorithmic Governance	Automated decision systems guiding policy and regulation #444	Global	Global Financial Forum
445	Regime 445	Nation-State Governance	Traditional state model with centralized authority #445	Africa	Ghana
446	Regime 446	Market-Dominant Governance	Economic-driven governance emphasizing market forces #446	Asia	China
447	Regime 447	Algorithmic Governance	Automated decision systems guiding policy and regulation #447	Europe	Germany
448	Regime 448	Nation-State Governance	Traditional state model with centralized authority #448	Americas	Brazil
449	Regime 449	Market-Dominant Governance	Economic-driven governance emphasizing market forces #449	Oceania	Papua New Guinea
450	Regime 450	Algorithmic Governance	Automated decision systems guiding policy and regulation #450	Global	International Coalition
451	Regime 451	Nation-State Governance	Traditional state model with centralized authority #451	Africa	Nigeria
452	Regime 452	Market-Dominant Governance	Economic-driven governance emphasizing market forces #452	Asia	India
453	Regime 453	Algorithmic Governance	Automated decision systems guiding policy and regulation #453	Europe	France
454	Regime 454	Nation-State Governance	Traditional state model with centralized authority #454	Americas	Mexico
455	Regime 455	Market-Dominant Governance	Economic-driven governance emphasizing market forces #455	Oceania	Samoa
456	Regime 456	Algorithmic Governance	Automated decision systems guiding policy and regulation #456	Global	European Union
457	Regime 457	Nation-State Governance	Traditional state model with centralized authority #457	Africa	Kenya
458	Regime 458	Market-Dominant Governance	Economic-driven governance emphasizing market forces #458	Asia	Japan
459	Regime 459	Algorithmic Governance	Automated decision systems guiding policy and regulation #459	Europe	Italy
460	Regime 460	Nation-State Governance	Traditional state model with centralized authority #460	Americas	Argentina
461	Regime 461	Market-Dominant Governance	Economic-driven governance emphasizing market forces #461	Oceania	Australia
462	Regime 462	Algorithmic Governance	Automated decision systems guiding policy and regulation #462	Global	United Nations
463	Regime 463	Nation-State Governance	Traditional state model with centralized authority #463	Africa	South Africa
464	Regime 464	Market-Dominant Governance	Economic-driven governance emphasizing market forces #464	Asia	South Korea
465	Regime 465	Algorithmic Governance	Automated decision systems guiding policy and regulation #465	Europe	Spain
466	Regime 466	Nation-State Governance	Traditional state model with centralized authority #466	Americas	United States
467	Regime 467	Market-Dominant Governance	Economic-driven governance emphasizing market forces #467	Oceania	New Zealand
468	Regime 468	Algorithmic Governance	Automated decision systems guiding policy and regulation #468	Global	Multinational Consortium
469	Regime 469	Nation-State Governance	Traditional state model with centralized authority #469	Africa	Egypt
470	Regime 470	Market-Dominant Governance	Economic-driven governance emphasizing market forces #470	Asia	Indonesia
471	Regime 471	Algorithmic Governance	Automated decision systems guiding policy and regulation #471	Europe	United Kingdom
472	Regime 472	Nation-State Governance	Traditional state model with centralized authority #472	Americas	Canada
473	Regime 473	Market-Dominant Governance	Economic-driven governance emphasizing market forces #473	Oceania	Fiji
474	Regime 474	Algorithmic Governance	Automated decision systems guiding policy and regulation #474	Global	Global Financial Forum
475	Regime 475	Nation-State Governance	Traditional state model with centralized authority #475	Africa	Ghana
476	Regime 476	Market-Dominant Governance	Economic-driven governance emphasizing market forces #476	Asia	China
477	Regime 477	Algorithmic Governance	Automated decision systems guiding policy and regulation #477	Europe	Germany
478	Regime 478	Nation-State Governance	Traditional state model with centralized authority #478	Americas	Brazil
479	Regime 479	Market-Dominant Governance	Economic-driven governance emphasizing market forces #479	Oceania	Papua New Guinea
480	Regime 480	Algorithmic Governance	Automated decision systems guiding policy and regulation #480	Global	International Coalition
481	Regime 481	Nation-State Governance	Traditional state model with centralized authority #481	Africa	Nigeria
482	Regime 482	Market-Dominant Governance	Economic-driven governance emphasizing market forces #482	Asia	India
483	Regime 483	Algorithmic Governance	Automated decision systems guiding policy and regulation #483	Europe	France
484	Regime 484	Nation-State Governance	Traditional state model with centralized authority #484	Americas	Mexico
485	Regime 485	Market-Dominant Governance	Economic-driven governance emphasizing market forces #485	Oceania	Samoa
486	Regime 486	Algorithmic Governance	Automated decision systems guiding policy and regulation #486	Global	European Union
487	Regime 487	Nation-State Governance	Traditional state model with centralized authority #487	Africa	Kenya
488	Regime 488	Market-Dominant Governance	Economic-driven governance emphasizing market forces #488	Asia	Japan
489	Regime 489	Algorithmic Governance	Automated decision systems guiding policy and regulation #489	Europe	Italy
490	Regime 490	Nation-State Governance	Traditional state model with centralized authority #490	Americas	Argentina
491	Regime 491	Market-Dominant Governance	Economic-driven governance emphasizing market forces #491	Oceania	Australia
492	Regime 492	Algorithmic Governance	Automated decision systems guiding policy and regulation #492	Global	United Nations
493	Regime 493	Nation-State Governance	Traditional state model with centralized authority #493	Africa	South Africa
494	Regime 494	Market-Dominant Governance	Economic-driven governance emphasizing market forces #494	Asia	South Korea
495	Regime 495	Algorithmic Governance	Automated decision systems guiding policy and regulation #495	Europe	Spain
496	Regime 496	Nation-State Governance	Traditional state model with centralized authority #496	Americas	United States
497	Regime 497	Market-Dominant Governance	Economic-driven governance emphasizing market forces #497	Oceania	New Zealand
498	Regime 498	Algorithmic Governance	Automated decision systems guiding policy and regulation #498	Global	Multinational Consortium
499	Regime 499	Nation-State Governance	Traditional state model with centralized authority #499	Africa	Egypt
500	Regime 500	Market-Dominant Governance	Economic-driven governance emphasizing market forces #500	Asia	Indonesia
